index,rhop,rhot,total_parallel_current_density_a_per_m2,bootstrap_parallel_current_density_a_per_m2,bootstrap_current_density_raw_jbsbav_a_per_m2,driven_parallel_current_density_a_per_m2
0,0.0,0.0,716187.53273,195.67731491858268,93.046398697,715991.8554150814
1,0.08838834764831845,0.05608149293577123,710571.2997193785,110.7652477188261,52.669914268325414,710460.5344716597
2,0.125,0.07947336437565428,705560.758255,1844.2681306307775,876.96679535,703716.4901243693
3,0.15309310892394862,0.09752804529967314,701050.5893365536,3720.695115203919,1769.225427399644,697329.8942213496
4,0.1767766952966369,0.11283312408600508,696955.5100614897,5730.47842772906,2724.8962442728202,691225.0316337605
5,0.19764235376052372,0.1263889875097466,693203.0324933518,7859.148185208519,3737.098680876628,685343.8843081433
6,0.21650635094610965,0.1387064938931799,689734.338049757,10140.627906775586,4821.963688761556,679593.7101429814
7,0.23385358667337133,0.15008927036197867,686498.3794399126,12595.717253453538,5989.3817018449945,673902.662186459
8,0.25,0.16073401287687322,683453.27452,15068.220692933544,7165.0802794,668385.0538270664
9,0.2651650429449553,0.17077905429795498,680562.3128710248,17591.66387414311,8365.001181962187,662970.6489968817
10,0.2795084971874737,0.18032260001135214,677796.2966904581,20255.750392047757,9631.799310357386,657540.5462984104
11,0.29315098498896436,0.18944010466512887,675129.8988412037,23096.982528344626,10982.831841923984,652032.916312859
12,0.30618621784789724,0.19818992398412327,672541.6701061549,26081.80996992316,12402.145288075979,646459.8601362318
13,0.31868871959954903,0.20661823750294198,670014.2687425864,29237.471962943793,13902.692165866785,640776.7967796426
14,0.33071891388307384,0.214763501734961,667531.3099117348,32526.870082284702,15466.831826167747,635004.4398294501
15,0.3423265984407288,0.22265613805568307,665080.9494187239,35895.66476039823,17068.725294904812,629185.2846583257
16,0.3535533905932738,0.23032206473855452,662652.8176627882,39311.4741249435,18692.974688037924,623341.3435378447
17,0.3644344934278313,0.2377835638896399,660237.2068721306,42817.97343491138,20360.34800089118,617419.2334372192
18,0.375,0.2450598324067483,657825.9375400001,46501.05779301346,22111.6891605,611324.8797469866
19,0.385275875185561,0.25216632568266645,655414.3784444806,50335.736254022195,23935.11473799362,605078.6421904585
20,0.39528470752104744,0.2591175307882755,652996.600071958,54386.69589272658,25861.384044198963,598609.9041792315
21,0.4050462936504913,0.26592687236931767,650565.8182700879,58668.58086022696,27897.460510326386,591897.2374098611
22,0.414578098794425,0.2726048271641432,648119.6191684094,63180.31218430129,30042.831074963553,584939.306984108
23,0.42389562394532926,0.2791611266761422,645654.8815289125,67886.83772067766,32280.82811472005,577768.0438082347
24,0.4330127018922193,0.2856046729290992,643168.8298009994,72871.31861414322,34650.9955339937,570297.5111868562
