index,rho,total_istar,pressure_offset_istar,bootstrap_istar,driven_istar,istar_per_jparallel,cppr_norm,tmf_norm,cid0,cid2,reconstructed_total_istar,rb2av
0,0.0,1.5958785,-1.2255949776406077,0.0007708851787941538,2.8207025924618137,1.7537977726014364,-0.62309661,1.121533034049903,1.2377440535613644,0.0,1.5958785000000002,0.5166562735992435
1,0.0045454545455,1.5958715,-0.0006692450181274168,0.00041286821825537763,1.596127876799872,0.9923932740298991,-0.62321202,1.1215293245170919,1.1119231357762893,1.2363743479226639,1.5958714999999999,1.016370508045373
2,0.0090909090909,1.5957719,-0.0023408545490567574,0.000398207385266352,1.5977145471637901,0.9934201876359341,-0.62290282,1.1215182229361256,1.1103704322028518,1.2329340824684838,1.5957718999999997,1.0167295941921801
3,0.013636363636,1.5955811,-0.003986443444206688,0.00019898078052549132,1.5993685626636813,0.9944225929815455,-0.62218058,1.1214997116664782,1.1088084494667148,1.2294883207762397,1.5955811000000002,1.0171187415282918
4,0.018181818182,1.5953007,-0.005600709646834343,-8.322445045713371e-05,1.6009846340972915,0.9953973666546863,-0.62105689,1.12147377296866,1.107237181396241,1.2260370990696408,1.5953007000000001,1.017541130209119
5,0.022727272727,1.5949323,-0.007178680083159771,-0.0003879960994235395,1.6024989761825832,0.996341537064421,-0.61954334,1.1214403812107145,1.105656621819793,1.2225804535723954,1.5949323,1.017999776723885
6,0.027272727273,1.5944773,-0.00871578469539558,-0.0006789862529737491,1.6038720709483694,0.9972523807771526,-0.6176515,1.1213995023486554,1.1040667645657334,1.2191184205082128,1.5944773,1.0184974373822897
7,0.031818181818,1.5939374,-0.010208213991597444,-0.0009345816048657665,1.605080195596463,0.9981279323688178,-0.61539295,1.1213510947181835,1.1024676038047347,1.2156510364225799,1.5939374,1.0190360907008096
8,0.036363636364,1.5933144,-0.011652249280685131,-0.0011424161129195592,1.6061090653936048,0.9989660168321924,-0.61277927,1.1212951092573609,1.1008591325165407,1.2121783367414871,1.5933144000000001,1.0196179296816599
9,0.040909090909,1.5926098,-0.01304419149960158,-0.001295991144522695,1.6069499826441243,0.9997641353450779,-0.60982205,1.1212314900014355,1.099241344276089,1.208700357445951,1.5926098,1.0202454784938038
10,0.045454545455,1.5918256,-0.014381034347236686,-0.0013925456113562439,1.6075991799585925,1.0005204423749625,-0.60653287,1.1211601742807706,1.0976142317756363,1.2052171337007929,1.5918255999999995,1.0209205986004288
11,0.05,1.5909634,-0.015660051272434566,-0.0014316884990495504,1.6080551397714842,1.001233148195067,-0.60292331,1.1210810932651536,1.0959777878891157,1.20172870083546,1.5909634000000001,1.0216451001004025
12,0.054545454545,1.5900252,-0.016879508236201334,-0.001414510143584647,1.608319218379786,1.0019015814903287,-0.59900494,1.1209941721864667,1.0943320050334566,1.1982350937650839,1.5900252000000001,1.0224196597619766
13,0.059090909091,1.5890126,-0.01803740352372309,-0.0013429672541173231,1.6083929707778404,1.002524337077061,-0.59478936,1.1208993308582547,1.092676875363487,1.194736347164123,1.5890126,1.023245712454956
14,0.063636363636,1.5879277,-0.019132382890141554,-0.001219505443079765,1.6082795883332215,1.0031006392121797,-0.59028814,1.1207964838983953,1.091012391023027,1.1912324957000207,1.5879277000000003,1.0241240608764495
15,0.068181818182,1.5867722,-0.020163131522663805,-0.0010468083559053167,1.6079821398785692,1.0036294415181364,-0.58551287,1.1206855411744423,1.089338543439229,1.1877235733976874,1.5867722,1.0250557960141402
16,0.072727272727,1.5855481,-0.02112896783715252,-0.0008276410181974408,1.6075047088553505,1.0041103364335668,-0.58047511,1.1205664081994864,1.0876553244745741,1.1842096146695356,1.5855481000000005,1.0260413685061462
17,0.077272727273,1.5842573,-0.022029790974285125,-0.0005647549069034663,1.606851845881189,1.0045435048784968,-0.57518647,1.1204389864537911,1.08596272487236,1.1806906529419032,1.5842573000000002,1.027080640986456
18,0.081818181818,1.5829017,-0.022865476145328224,-0.0002607957292919894,1.6060279718746202,1.0049288115937292,-0.56965851,1.1203031737311706,1.0842607360676981,1.1771667222457198,1.5829017,1.0281738106192206
19,0.086363636364,1.5814831,-0.023636017579336328,8.172311156804174e-05,1.6050373944677687,1.0052660221602034,-0.56390282,1.1201588645595915,1.082549348315003,1.173637855588224,1.5814831000000005,1.0293211900979107
20,0.090909090909,1.5800037,-0.024341922821915902,0.00045991215419038836,1.6038857106677258,1.005555441570085,-0.55793097,1.1200059505475506,1.0808285523808345,1.1701040864166063,1.5800037000000002,1.030522552510189
