    0.74459865E+00
   -0.94091421E-02
    0.13104599E-02
  300
    0.16993524E+01   -0.94091421E-02
    0.16996218E+01    0.29300885E-02
    0.16997363E+01    0.15285037E-01
    0.16996877E+01    0.27656369E-01
    0.16994666E+01    0.40043992E-01
    0.16990638E+01    0.52447094E-01
    0.16984701E+01    0.64864122E-01
    0.16976759E+01    0.77292759E-01
    0.16966735E+01    0.89730235E-01
    0.16954598E+01    0.10217401E+00
    0.16940362E+01    0.11462233E+00
    0.16924038E+01    0.12707349E+00
    0.16905634E+01    0.13952591E+00
    0.16885160E+01    0.15197813E+00
    0.16862622E+01    0.16442878E+00
    0.16838040E+01    0.17687701E+00
    0.16811444E+01    0.18932264E+00
    0.16782873E+01    0.20176607E+00
    0.16752353E+01    0.21420782E+00
    0.16719894E+01    0.22664797E+00
    0.16685497E+01    0.23908643E+00
    0.16649162E+01    0.25152326E+00
    0.16610885E+01    0.26395847E+00
    0.16570642E+01    0.27639116E+00
    0.16528402E+01    0.28881988E+00
    0.16484131E+01    0.30124297E+00
    0.16437788E+01    0.31365814E+00
    0.16389381E+01    0.32606590E+00
    0.16338970E+01    0.33847066E+00
    0.16286646E+01    0.35087973E+00
    0.16232487E+01    0.36330127E+00
    0.16176547E+01    0.37574272E+00
    0.16118851E+01    0.38821068E+00
    0.16059415E+01    0.40071175E+00
    0.15998239E+01    0.41325211E+00
    0.15935287E+01    0.42583555E+00
    0.15870498E+01    0.43846375E+00
    0.15803809E+01    0.45113823E+00
    0.15735124E+01    0.46385707E+00
    0.15664333E+01    0.47661629E+00
    0.15591325E+01    0.48941095E+00
    0.15515987E+01    0.50223495E+00
    0.15438203E+01    0.51508080E+00
    0.15357885E+01    0.52794321E+00
    0.15274968E+01    0.54081937E+00
    0.15189405E+01    0.55370862E+00
    0.15101206E+01    0.56661872E+00
    0.15010385E+01    0.57955986E+00
    0.14916915E+01    0.59253793E+00
    0.14820726E+01    0.60555297E+00
    0.14721746E+01    0.61860492E+00
    0.14619891E+01    0.63169222E+00
    0.14515072E+01    0.64481167E+00
    0.14407210E+01    0.65796263E+00
    0.14296262E+01    0.67115168E+00
    0.14182191E+01    0.68438962E+00
    0.14064917E+01    0.69767985E+00
    0.13944359E+01    0.71102681E+00
    0.13820449E+01    0.72444083E+00
    0.13693116E+01    0.73793443E+00
    0.13562265E+01    0.75151772E+00
    0.13427787E+01    0.76520011E+00
    0.13289523E+01    0.77897698E+00
    0.13147309E+01    0.79284192E+00
    0.13001013E+01    0.80680109E+00
    0.12850503E+01    0.82086559E+00
    0.12695609E+01    0.83503367E+00
    0.12536148E+01    0.84929878E+00
    0.12371952E+01    0.86366403E+00
    0.12202880E+01    0.87816310E+00
    0.12028772E+01    0.89284297E+00
    0.11849392E+01    0.90771828E+00
    0.11664475E+01    0.92278627E+00
    0.11473757E+01    0.93806064E+00
    0.11276953E+01    0.95355478E+00
    0.11073755E+01    0.96930444E+00
    0.10863803E+01    0.98539385E+00
    0.10646667E+01    0.10018720E+01
    0.10421856E+01    0.10188037E+01
    0.10188827E+01    0.10362298E+01
    0.99470384E+00    0.10541454E+01
    0.96959317E+00    0.10725466E+01
    0.94349268E+00    0.10914321E+01
    0.91635023E+00    0.11107548E+01
    0.88812828E+00    0.11304013E+01
    0.85882191E+00    0.11501423E+01
    0.82848519E+00    0.11695759E+01
    0.79725443E+00    0.11881139E+01
    0.76538176E+00    0.12049407E+01
    0.73322498E+00    0.12191349E+01
    0.70125248E+00    0.12296990E+01
    0.66999720E+00    0.12357230E+01
    0.63993738E+00    0.12366816E+01
    0.61143780E+00    0.12324754E+01
    0.58472495E+00    0.12233738E+01
    0.55988201E+00    0.12099278E+01
    0.53688654E+00    0.11928171E+01
    0.51566919E+00    0.11726978E+01
    0.49610134E+00    0.11502272E+01
    0.47804606E+00    0.11259679E+01
    0.46136959E+00    0.11003858E+01
    0.44594639E+00    0.10738596E+01
    0.43166252E+00    0.10466915E+01
    0.41841446E+00    0.10191225E+01
    0.40611185E+00    0.99133932E+00
    0.39467561E+00    0.96348643E+00
    0.38403651E+00    0.93567478E+00
    0.37413293E+00    0.90799034E+00
    0.36490935E+00    0.88049981E+00
    0.35631774E+00    0.85325200E+00
    0.34831764E+00    0.82628065E+00
    0.34086753E+00    0.79961588E+00
    0.33392770E+00    0.77328151E+00
    0.32745986E+00    0.74729628E+00
    0.32142838E+00    0.72167323E+00
    0.31580486E+00    0.69641645E+00
    0.31056588E+00    0.67152444E+00
    0.30568181E+00    0.64700018E+00
    0.30112114E+00    0.62284664E+00
