   FROM CHEASE,SI UNITS,COCOS=2, IP,B0>020260924   3 513 513
 1.356582998E+00 2.546706524E+00 8.500000000E-01 1.498580280E-01-8.045780290E-03
 9.444444004E-01-8.045780290E-03-6.949544239E-02 0.000000000E+00 -4.75509380E-01
 7.535706096E+05-6.949544239E-02 0.000000000E+00 9.444444004E-01 0.000000000E+00
 -4.11849669E-01 -4.11780572E-01 -4.11712261E-01 -4.11644723E-01 -4.11577939E-01
 -4.11511894E-01 -4.11446573E-01 -4.11381977E-01 -4.11318108E-01 -4.11254968E-01
 -4.11192543E-01 -4.11130796E-01 -4.11069691E-01 -4.11009180E-01 -4.10949143E-01
 -4.10889436E-01 -4.10829914E-01 -4.10770436E-01 -4.10710866E-01 -4.10651066E-01
 -4.10590913E-01 -4.10530404E-01 -4.10469615E-01 -4.10408622E-01 -4.10347515E-01
 -4.10286450E-01 -4.10225589E-01 -4.10165097E-01 -4.10105075E-01 -4.10045549E-01
 -4.09986541E-01 -4.09928068E-01 -4.09870127E-01 -4.09812702E-01 -4.09755779E-01
 -4.09699346E-01 -4.09643404E-01 -4.09587959E-01 -4.09533015E-01 -4.09478574E-01
 -4.09424630E-01 -4.09371181E-01 -4.09318222E-01 -4.09265751E-01 -4.09213766E-01
 -4.09162267E-01 -4.09111252E-01 -4.09060718E-01 -4.09010664E-01 -4.08961087E-01
 -4.08911985E-01 -4.08863354E-01 -4.08815194E-01 -4.08767502E-01 -4.08720274E-01
 -4.08673509E-01 -4.08627203E-01 -4.08581355E-01 -4.08535961E-01 -4.08491018E-01
 -4.08446523E-01 -4.08402473E-01 -4.08358866E-01 -4.08315697E-01 -4.08272963E-01
 -4.08230662E-01 -4.08188788E-01 -4.08147340E-01 -4.08106312E-01 -4.08065702E-01
 -4.08025505E-01 -4.07985718E-01 -4.07946336E-01 -4.07907356E-01 -4.07868774E-01
 -4.07830586E-01 -4.07792786E-01 -4.07755372E-01 -4.07718337E-01 -4.07681677E-01
 -4.07645388E-01 -4.07609465E-01 -4.07573902E-01 -4.07538695E-01 -4.07503836E-01
 -4.07469322E-01 -4.07435146E-01 -4.07401301E-01 -4.07367783E-01 -4.07334584E-01
 -4.07301698E-01 -4.07269118E-01 -4.07236837E-01 -4.07204848E-01 -4.07173143E-01
 -4.07141714E-01 -4.07110553E-01 -4.07079653E-01 -4.07049004E-01 -4.07018598E-01
 -4.06988424E-01 -4.06958475E-01 -4.06928740E-01 -4.06899208E-01 -4.06869869E-01
 -4.06840713E-01 -4.06811728E-01 -4.06782902E-01 -4.06754224E-01 -4.06725681E-01
 -4.06697260E-01 -4.06668947E-01 -4.06640729E-01 -4.06612593E-01 -4.06584523E-01
 -4.06556504E-01 -4.06528521E-01 -4.06500557E-01 -4.06472598E-01 -4.06444624E-01
 -4.06416620E-01 -4.06388566E-01 -4.06360446E-01 -4.06332239E-01 -4.06303925E-01
 -4.06275485E-01 -4.06246898E-01 -4.06218143E-01 -4.06189195E-01 -4.06160035E-01
 -4.06130638E-01 -4.06100983E-01 -4.06071049E-01 -4.06040814E-01 -4.06010255E-01
 -4.05979355E-01 -4.05948095E-01 -4.05916456E-01 -4.05884421E-01 -4.05851976E-01
 -4.05819112E-01 -4.05785819E-01 -4.05752088E-01 -4.05717913E-01 -4.05683296E-01
 -4.05648237E-01 -4.05612740E-01 -4.05576806E-01 -4.05540448E-01 -4.05503676E-01
 -4.05466502E-01 -4.05428938E-01 -4.05391002E-01 -4.05352714E-01 -4.05314095E-01
 -4.05275164E-01 -4.05235947E-01 -4.05196476E-01 -4.05156784E-01 -4.05116903E-01
 -4.05076867E-01 -4.05036720E-01 -4.04996508E-01 -4.04956276E-01 -4.04916069E-01
 -4.04875942E-01 -4.04835956E-01 -4.04796172E-01 -4.04756648E-01 -4.04717448E-01
 -4.04678645E-01 -4.04640309E-01 -4.04602512E-01 -4.04565327E-01 -4.04528842E-01
 -4.04493146E-01 -4.04458331E-01 -4.04424485E-01 -4.04391726E-01 -4.04360191E-01
