iteration,amplitude_in,amplitude_next,ip_a,ip_error_a,ip_error_rel,bootstrap_change_rel,q_change_rel,amplitude_change_rel,converged,artifact_dir,eqdsk_path
0,1.0,1.0010966134468329,742761.4556,-1629.0444000000134,0.0021884271763274966,,,0.001095412203081149,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_00-15-50-129038_ne_ped_scale_0.800/iteration_00/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_00-15-50-129038_ne_ped_scale_0.800/iteration_00/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
1,1.0010966134468329,1.0139066872857345,742853.5553,-1536.9446999999927,0.002064702195957623,0.00034759117357229197,0.0003838990435634026,0.012634371584228019,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_00-15-50-129038_ne_ped_scale_0.800/iteration_01/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_00-15-50-129038_ne_ped_scale_0.800/iteration_01/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
2,1.0139066872857345,1.0139066872857345,743326.9214,-1063.578600000008,0.0014287912056911098,0.0008455077173392531,0.0009557829451732461,0.0,True,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_00-15-50-129038_ne_ped_scale_0.800/iteration_02/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_00-15-50-129038_ne_ped_scale_0.800/iteration_02/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
