# rhop j_driven_a_per_m2 j_bootstrap_lagged_a_per_m2 j_total_target_a_per_m2
0.7603453163 3.5166807866e+05 1.1025022714e+05 4.6191830580e+05
0.7654655446 3.4461132868e+05 1.1188900705e+05 4.5650033574e+05
0.7705517504 3.3763980536e+05 1.1335121266e+05 4.5099101802e+05
0.7756046029 3.3077059919e+05 1.1461925878e+05 4.4538985797e+05
0.7806247498 3.2400153628e+05 1.1569470202e+05 4.3969623830e+05
0.7856128181 3.1731861995e+05 1.1659080559e+05 4.3390942554e+05
0.7905694150 3.1076921240e+05 1.1725913143e+05 4.2802834383e+05
0.7954951288 3.0425642659e+05 1.1779432306e+05 4.2205074965e+05
0.8003905297 2.9789565152e+05 1.1807295608e+05 4.1596860761e+05
0.8052561704 2.9179892788e+05 1.1799046946e+05 4.0978939734e+05
0.8100925873 2.8582330633e+05 1.1768879704e+05 4.0351210337e+05
0.8149003007 2.7999892583e+05 1.1713719914e+05 3.9713612497e+05
0.8196798155 2.7435489421e+05 1.1630651773e+05 3.9066141195e+05
0.8244316224 2.6888978926e+05 1.1519854216e+05 3.8408833142e+05
0.8291561976 2.6363148160e+05 1.1378645542e+05 3.7741793702e+05
0.8338540040 2.5860240568e+05 1.1205009757e+05 3.7065250326e+05
0.8385254916 2.5377405044e+05 1.1002147434e+05 3.6379552478e+05
0.8431710977 2.4898012969e+05 1.0787179931e+05 3.5685192900e+05
0.8477912479 2.4413849031e+05 1.0569036210e+05 3.4982885241e+05
0.8523863561 2.3926653427e+05 1.0346948873e+05 3.4273602299e+05
0.8569568251 2.3436819886e+05 1.0121782592e+05 3.3558602478e+05
0.8615030470 2.2946113715e+05 9.8934261394e+04 3.2839539854e+05
0.8660254038 2.2458463728e+05 9.6600914088e+04 3.2118555137e+05
0.8705242673 2.1978072250e+05 9.4202582764e+04 3.1398330526e+05
0.8750000000 2.1511642202e+05 9.1706124141e+04 3.0682254617e+05
0.8794529550 2.1065871703e+05 8.9087077702e+04 2.9974579473e+05
0.8838834765 2.0647619710e+05 8.6329219019e+04 2.9280541612e+05
0.8882919002 2.0265540968e+05 8.3410761771e+04 2.8606617145e+05
0.8926785536 1.9924463306e+05 8.0363045669e+04 2.7960767873e+05
0.8970437559 1.9630874677e+05 7.7217951994e+04 2.7352669877e+05
0.9013878189 1.9394637920e+05 7.3994668033e+04 2.6794104723e+05
0.9057110466 1.9227294418e+05 7.0720230513e+04 2.6299317469e+05
0.9100137362 1.9142684519e+05 6.7422060993e+04 2.5884890618e+05
0.9142961774 1.9155394085e+05 6.4127371509e+04 2.5568131236e+05
0.9185586535 1.9278514609e+05 6.0849595496e+04 2.5363474158e+05
0.9228014413 1.9511951445e+05 5.7695366097e+04 2.5281488054e+05
0.9270248109 1.9866039482e+05 5.4712521053e+04 2.5337291587e+05
0.9312290266 2.0350969699e+05 5.1765721206e+04 2.5527541820e+05
0.9354143467 2.0895946172e+05 4.9494206804e+04 2.5845366853e+05
0.9395810236 2.1421103545e+05 4.8586134178e+04 2.6279716963e+05
0.9437293044 2.1888430788e+05 4.9246686904e+04 2.6813099479e+05
0.9478594305 2.2187907989e+05 5.2260426691e+04 2.7413950658e+05
0.9519716382 2.2209227029e+05 5.8444085070e+04 2.8053635536e+05
0.9560661588 2.1760999710e+05 6.9064499884e+04 2.8667449699e+05
0.9601432185 2.1069662748e+05 8.6093095656e+04 2.9678972313e+05
0.9642030388 2.1725948739e+05 1.1225340297e+05 3.2951289036e+05
0.9682458366 2.6657048686e+05 1.5292892448e+05 4.1949941134e+05
0.9722718241 3.3746605890e+05 2.0702389656e+05 5.4448995546e+05
0.9762812095 3.8314506150e+05 2.5260795393e+05 6.3575301543e+05
0.9802741963 3.9686877242e+05 2.6421344559e+05 6.6108221801e+05
0.9842509843 3.6607171289e+05 2.2854840636e+05 5.9462011925e+05
0.9882117688 2.8843599831e+05 1.5862530715e+05 4.4706130546e+05
0.9921567416 1.9582943329e+05 8.5269731219e+04 2.8109916451e+05
0.9960860907 1.3334794942e+05 3.6801584929e+04 1.7014953435e+05
1.0000000000 8.0769987471e+04 1.3175400270e+04 9.3945387741e+04
