#psi, P, q
1.718750000000000000e-01 1.828640021999999954e+04 1.134421434000000062e+00
1.738281250000000000e-01 1.826214386000000013e+04 1.135875382000000045e+00
1.757812500000000000e-01 1.823785181000000011e+04 1.137334135999999996e+00
1.777343750000000000e-01 1.821351992999999857e+04 1.138797875999999931e+00
1.796874999999999722e-01 1.818914524000000165e+04 1.140266761999999989e+00
1.816406250000000000e-01 1.816472422000000006e+04 1.141740937000000011e+00
1.835937500000000278e-01 1.814025269000000117e+04 1.143220523000000100e+00
1.855468750000000000e-01 1.811572708000000057e+04 1.144705634999999999e+00
1.875000000000000000e-01 1.809114431999999942e+04 1.146196387000000039e+00
1.894531250000000000e-01 1.806650126000000091e+04 1.147692893999999963e+00
1.914062500000000000e-01 1.804179462000000058e+04 1.149195277000000015e+00
1.933593749999999722e-01 1.801702123999999822e+04 1.150703653999999965e+00
1.953125000000000000e-01 1.799217808000000150e+04 1.152218144000000111e+00
1.972656250000000278e-01 1.796726232000000164e+04 1.153738847999999928e+00
1.992187500000000000e-01 1.794227137999999832e+04 1.155265851000000010e+00
2.011718750000000000e-01 1.791720252999999866e+04 1.156799281000000068e+00
2.031250000000000000e-01 1.789205288999999902e+04 1.158339312000000065e+00
2.050781250000000000e-01 1.786681984000000011e+04 1.159886109999999970e+00
