   FROM CHEASE,SI UNITS,COCOS=2, IP,B0>020260925   3 513 513
 1.361945010E+00 2.443413960E+00 8.500000240E-01 1.427304047E-01-6.323755147E-03
 9.430445796E-01-6.323755147E-03-6.864468261E-02 0.000000000E+00 -4.87488985E-01
 7.440705163E+05-6.864468261E-02 0.000000000E+00 9.430445796E-01 0.000000000E+00
-6.323755147E-03 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 -4.64713647E-01 -4.64514072E-01 -4.64314100E-01 -4.64113740E-01 -4.63912988E-01
 -4.63711828E-01 -4.63510240E-01 -4.63308223E-01 -4.63105773E-01 -4.62902886E-01
 -4.62699557E-01 -4.62495784E-01 -4.62291565E-01 -4.62086894E-01 -4.61881765E-01
 -4.61676178E-01 -4.61470132E-01 -4.61263624E-01 -4.61056650E-01 -4.60849211E-01
 -4.60641308E-01 -4.60432941E-01 -4.60224108E-01 -4.60014813E-01 -4.59805058E-01
 -4.59594846E-01 -4.59384177E-01 -4.59173057E-01 -4.58961491E-01 -4.58749483E-01
 -4.58537038E-01 -4.58324163E-01 -4.58110864E-01 -4.57897150E-01 -4.57683027E-01
 -4.57468504E-01 -4.57253592E-01 -4.57038298E-01 -4.56822636E-01 -4.56606614E-01
 -4.56390245E-01 -4.56173542E-01 -4.55956518E-01 -4.55739187E-01 -4.55521564E-01
 -4.55303663E-01 -4.55085503E-01 -4.54867099E-01 -4.54648468E-01 -4.54429629E-01
 -4.54210605E-01 -4.53991411E-01 -4.53772070E-01 -4.53552604E-01 -4.53333040E-01
 -4.53113398E-01 -4.52893698E-01 -4.52673967E-01 -4.52454228E-01 -4.52234502E-01
 -4.52014809E-01 -4.51795172E-01 -4.51575612E-01 -4.51356147E-01 -4.51136795E-01
 -4.50917577E-01 -4.50698511E-01 -4.50479616E-01 -4.50260907E-01 -4.50042402E-01
 -4.49824120E-01 -4.49606075E-01 -4.49388283E-01 -4.49170759E-01 -4.48953519E-01
 -4.48736578E-01 -4.48519947E-01 -4.48303644E-01 -4.48087681E-01 -4.47872071E-01
 -4.47656827E-01 -4.47441962E-01 -4.47227488E-01 -4.47013419E-01 -4.46799765E-01
 -4.46586537E-01 -4.46373748E-01 -4.46161408E-01 -4.45949528E-01 -4.45738117E-01
 -4.45527187E-01 -4.45316748E-01 -4.45106809E-01 -4.44897379E-01 -4.44688468E-01
 -4.44480085E-01 -4.44272239E-01 -4.44064938E-01 -4.43858191E-01 -4.43652006E-01
 -4.43446391E-01 -4.43241354E-01 -4.43036903E-01 -4.42833045E-01 -4.42629788E-01
 -4.42427139E-01 -4.42225104E-01 -4.42023691E-01 -4.41822906E-01 -4.41622757E-01
 -4.41423249E-01 -4.41224389E-01 -4.41026184E-01 -4.40828637E-01 -4.40631757E-01
 -4.40435549E-01 -4.40240019E-01 -4.40045171E-01 -4.39851011E-01 -4.39657545E-01
 -4.39464778E-01 -4.39272715E-01 -4.39081360E-01 -4.38890718E-01 -4.38700794E-01
 -4.38511594E-01 -4.38323121E-01 -4.38135379E-01 -4.37948373E-01 -4.37762107E-01
 -4.37576586E-01 -4.37391815E-01 -4.37207797E-01 -4.37024536E-01 -4.36842034E-01
 -4.36660297E-01 -4.36479329E-01 -4.36299133E-01 -4.36119711E-01 -4.35941066E-01
 -4.35763203E-01 -4.35586125E-01 -4.35409836E-01 -4.35234341E-01 -4.35059640E-01
 -4.34885737E-01 -4.34712634E-01 -4.34540334E-01 -4.34368842E-01 -4.34198160E-01
 -4.34028291E-01 -4.33859236E-01 -4.33690998E-01 -4.33523579E-01 -4.33356983E-01
 -4.33191214E-01 -4.33026273E-01 -4.32862163E-01 -4.32698883E-01 -4.32536437E-01
 -4.32374827E-01 -4.32214056E-01 -4.32054127E-01 -4.31895042E-01 -4.31736805E-01
 -4.31579415E-01 -4.31422873E-01 -4.31267182E-01 -4.31112344E-01 -4.30958361E-01
 -4.30805237E-01 -4.30652972E-01 -4.30501570E-01 -4.30351031E-01 -4.30201355E-01
 -4.30052544E-01 -4.29904600E-01 -4.29757526E-01 -4.29611323E-01 -4.29465993E-01
 -4.29321539E-01 -4.29177961E-01 -4.29035259E-01 -4.28893435E-01 -4.28752490E-01
 -4.28612426E-01 -4.28473245E-01 -4.28334948E-01 -4.28197536E-01 -4.28061012E-01
 -4.27925375E-01 -4.27790627E-01 -4.27656768E-01 -4.27523800E-01 -4.27391723E-01
 -4.27260539E-01 -4.27130249E-01 -4.27000854E-01 -4.26872356E-01 -4.26744756E-01
 -4.26618054E-01 -4.26492250E-01 -4.26367346E-01 -4.26243342E-01 -4.26120238E-01
 -4.25998036E-01 -4.25876737E-01 -4.25756341E-01 -4.25636850E-01 -4.25518264E-01
 -4.25400583E-01 -4.25283808E-01 -4.25167940E-01 -4.25052979E-01 -4.24938924E-01
 -4.24825777E-01 -4.24713537E-01 -4.24602206E-01 -4.24491784E-01 -4.24382271E-01
 -4.24273668E-01 -4.24165975E-01 -4.24059192E-01 -4.23953320E-01 -4.23848357E-01
 -4.23744306E-01 -4.23641164E-01 -4.23538933E-01 -4.23437611E-01 -4.23337200E-01
 -4.23237698E-01 -4.23139107E-01 -4.23041426E-01 -4.22944654E-01 -4.22848792E-01
 -4.22753840E-01 -4.22659797E-01 -4.22566663E-01 -4.22474436E-01 -4.22383118E-01
 -4.22292706E-01 -4.22203200E-01 -4.22114601E-01 -4.22026906E-01 -4.21940115E-01
 -4.21854228E-01 -4.21769243E-01 -4.21685160E-01 -4.21601979E-01 -4.21519698E-01
 -4.21438316E-01 -4.21357832E-01 -4.21278246E-01 -4.21199555E-01 -4.21121759E-01
 -4.21044855E-01 -4.20968843E-01 -4.20893721E-01 -4.20819487E-01 -4.20746140E-01
 -4.20673678E-01 -4.20602100E-01 -4.20531402E-01 -4.20461584E-01 -4.20392643E-01
 -4.20324578E-01 -4.20257386E-01 -4.20191066E-01 -4.20125615E-01 -4.20061031E-01
 -4.19997312E-01 -4.19934453E-01 -4.19872454E-01 -4.19811311E-01 -4.19751021E-01
 -4.19691581E-01 -4.19632988E-01 -4.19575239E-01 -4.19518330E-01 -4.19462258E-01
 -4.19407020E-01 -4.19352612E-01 -4.19299029E-01 -4.19246269E-01 -4.19194326E-01
 -4.19143197E-01 -4.19092878E-01 -4.19043363E-01 -4.18994649E-01 -4.18946731E-01
 -4.18899604E-01 -4.18853263E-01 -4.18807703E-01 -4.18762919E-01 -4.18718905E-01
 -4.18675655E-01 -4.18633163E-01 -4.18591424E-01 -4.18550430E-01 -4.18510176E-01
 -4.18470654E-01 -4.18431859E-01 -4.18393782E-01 -4.18356417E-01 -4.18319755E-01
 -4.18283790E-01 -4.18248514E-01 -4.18213917E-01 -4.18179992E-01 -4.18146730E-01
 -4.18114122E-01 -4.18082159E-01 -4.18050831E-01 -4.18020129E-01 -4.17990042E-01
 -4.17960561E-01 -4.17931674E-01 -4.17903371E-01 -4.17875640E-01 -4.17848471E-01
 -4.17821850E-01 -4.17795766E-01 -4.17770207E-01 -4.17745158E-01 -4.17720608E-01
 -4.17696542E-01 -4.17672947E-01 -4.17649807E-01 -4.17627107E-01 -4.17604833E-01
 -4.17582969E-01 -4.17561498E-01 -4.17540404E-01 -4.17519670E-01 -4.17499278E-01
 -4.17479209E-01 -4.17459445E-01 -4.17439966E-01 -4.17420754E-01 -4.17401787E-01
 -4.17383047E-01 -4.17364514E-01 -4.17346170E-01 -4.17327997E-01 -4.17309976E-01
 -4.17292091E-01 -4.17274327E-01 -4.17256665E-01 -4.17239093E-01 -4.17221593E-01
 -4.17204154E-01 -4.17186759E-01 -4.17169396E-01 -4.17152053E-01 -4.17134716E-01
 -4.17117373E-01 -4.17100014E-01 -4.17082627E-01 -4.17065201E-01 -4.17047727E-01
 -4.17030194E-01 -4.17012593E-01 -4.16994915E-01 -4.16977151E-01 -4.16959294E-01
 -4.16941335E-01 -4.16923268E-01 -4.16905084E-01 -4.16886778E-01 -4.16868343E-01
 -4.16849773E-01 -4.16831063E-01 -4.16812207E-01 -4.16793200E-01 -4.16774039E-01
 -4.16754718E-01 -4.16735235E-01 -4.16715585E-01 -4.16695765E-01 -4.16675773E-01
 -4.16655606E-01 -4.16635263E-01 -4.16614740E-01 -4.16594037E-01 -4.16573153E-01
 -4.16552086E-01 -4.16530837E-01 -4.16509405E-01 -4.16487790E-01 -4.16465993E-01
 -4.16444014E-01 -4.16421853E-01 -4.16399513E-01 -4.16376995E-01 -4.16354299E-01
 -4.16331429E-01 -4.16308385E-01 -4.16285171E-01 -4.16261790E-01 -4.16238244E-01
 -4.16214537E-01 -4.16190673E-01 -4.16166656E-01 -4.16142491E-01 -4.16118183E-01
 -4.16093737E-01 -4.16069159E-01 -4.16044455E-01 -4.16019632E-01 -4.15994697E-01
 -4.15969658E-01 -4.15944521E-01 -4.15919297E-01 -4.15893993E-01 -4.15868620E-01
 -4.15843186E-01 -4.15817702E-01 -4.15792178E-01 -4.15766628E-01 -4.15741061E-01
 -4.15715491E-01 -4.15689929E-01 -4.15664391E-01 -4.15638891E-01 -4.15613441E-01
 -4.15588058E-01 -4.15562760E-01 -4.15537563E-01 -4.15512483E-01 -4.15487540E-01
 -4.15462753E-01 -4.15438142E-01 -4.15413727E-01 -4.15389529E-01 -4.15365572E-01
 -4.15341880E-01 -4.15318478E-01 -4.15295390E-01 -4.15272647E-01 -4.15250277E-01
 -4.15228310E-01 -4.15206776E-01 -4.15185703E-01 -4.15165122E-01 -4.15145062E-01
 -4.15125550E-01 -4.15106605E-01 -4.15088234E-01 -4.15070440E-01 -4.15053231E-01
 -4.15036604E-01 -4.15020540E-01 -4.15005016E-01 -4.14990007E-01 -4.14975487E-01
 -4.14961395E-01 -4.14947651E-01 -4.14934177E-01 -4.14920893E-01 -4.14907737E-01
 -4.14894667E-01 -4.14881642E-01 -4.14868624E-01 -4.14855563E-01 -4.14842350E-01
 -4.14828856E-01 -4.14814957E-01 -4.14800525E-01 -4.14785415E-01 -4.14769460E-01
 -4.14752494E-01 -4.14734352E-01 -4.14714958E-01 -4.14694554E-01 -4.14673454E-01
 -4.14651969E-01 -4.14630407E-01 -4.14609053E-01 -4.14588176E-01 -4.14568039E-01
 -4.14548907E-01 -4.14530983E-01 -4.14514277E-01 -4.14498759E-01 -4.14484398E-01
 -4.14471165E-01 -4.14459026E-01 -4.14447941E-01 -4.14437870E-01 -4.14428776E-01
 -4.14420617E-01 -4.14413350E-01 -4.14406930E-01 -4.14401309E-01 -4.14396444E-01
 -4.14392249E-01 -4.14388600E-01 -4.14385368E-01 -4.14382427E-01 -4.14379661E-01
 -4.14377015E-01 -4.14374456E-01 -4.14371953E-01 -4.14369475E-01 -4.14367048E-01
 -4.14364807E-01 -4.14362899E-01 -4.14361467E-01 -4.14360655E-01 -4.14360575E-01
 -4.14361320E-01 -4.14362981E-01 -4.14365649E-01
 1.339496519E+04 1.338171608E+04 1.336846976E+04 1.335522527E+04 1.334198225E+04
 1.332874041E+04 1.331549954E+04 1.330225955E+04 1.328902036E+04 1.327577964E+04
 1.326253524E+04 1.324928735E+04 1.323603611E+04 1.322278127E+04 1.320952253E+04
 1.319626007E+04 1.318299399E+04 1.316972428E+04 1.315645086E+04 1.314317388E+04
 1.312989340E+04 1.311660952E+04 1.310332229E+04 1.309003180E+04 1.307673812E+04
 1.306344132E+04 1.305014145E+04 1.303683860E+04 1.302353279E+04 1.301022406E+04
 1.299691242E+04 1.298359790E+04 1.297028057E+04 1.295696043E+04 1.294363748E+04
 1.293031178E+04 1.291698337E+04 1.290365228E+04 1.289031857E+04 1.287698227E+04
 1.286364341E+04 1.285030203E+04 1.283695817E+04 1.282361185E+04 1.281026310E+04
 1.279691193E+04 1.278355836E+04 1.277020241E+04 1.275684410E+04 1.274348341E+04
 1.273012034E+04 1.271675491E+04 1.270338713E+04 1.269001695E+04 1.267664434E+04
 1.266326931E+04 1.264989188E+04 1.263651197E+04 1.262312955E+04 1.260974459E+04
 1.259635709E+04 1.258296698E+04 1.256957416E+04 1.255617865E+04 1.254278044E+04
 1.252937942E+04 1.251597553E+04 1.250256875E+04 1.248915905E+04 1.247574636E+04
 1.246233059E+04 1.244891172E+04 1.243548973E+04 1.242206454E+04 1.240863604E+04
 1.239520424E+04 1.238176909E+04 1.236833044E+04 1.235488824E+04 1.234144247E+04
 1.232799303E+04 1.231453980E+04 1.230108269E+04 1.228762162E+04 1.227415650E+04
 1.226068725E+04 1.224721373E+04 1.223373585E+04 1.222025351E+04 1.220676660E+04
 1.219327499E+04 1.217977855E+04 1.216627717E+04 1.215277072E+04 1.213925906E+04
 1.212574205E+04 1.211221954E+04 1.209869138E+04 1.208515744E+04 1.207161756E+04
