   FROM CHEASE,SI UNITS,COCOS=2, IP,B0>020260924   3 513 513
 1.356584160E+00 2.546540814E+00 8.500000000E-01 1.498573747E-01-7.943970674E-03
 9.466469501E-01-7.943970674E-03-6.956901104E-02 0.000000000E+00 -4.75509380E-01
 7.530240324E+05-6.956901104E-02 0.000000000E+00 9.466469501E-01 0.000000000E+00
-7.943970674E-03 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 -4.54212192E-01 -4.54061149E-01 -4.53909285E-01 -4.53757081E-01 -4.53604695E-01
 -4.53451129E-01 -4.53295503E-01 -4.53138035E-01 -4.52978889E-01 -4.52818076E-01
 -4.52655595E-01 -4.52491546E-01 -4.52326017E-01 -4.52159060E-01 -4.51990715E-01
 -4.51821043E-01 -4.51650097E-01 -4.51477941E-01 -4.51304633E-01 -4.51130211E-01
 -4.50954712E-01 -4.50778199E-01 -4.50600734E-01 -4.50422343E-01 -4.50243053E-01
 -4.50062925E-01 -4.49882020E-01 -4.49700355E-01 -4.49517953E-01 -4.49334871E-01
 -4.49151163E-01 -4.48966846E-01 -4.48781926E-01 -4.48596464E-01 -4.48410521E-01
 -4.48224099E-01 -4.48037210E-01 -4.47849906E-01 -4.47662228E-01 -4.47474187E-01
 -4.47285798E-01 -4.47097100E-01 -4.46908131E-01 -4.46718903E-01 -4.46529428E-01
 -4.46339741E-01 -4.46149876E-01 -4.45959842E-01 -4.45769651E-01 -4.45579335E-01
 -4.45388926E-01 -4.45198424E-01 -4.45007844E-01 -4.44817213E-01 -4.44626566E-01
 -4.44435906E-01 -4.44245235E-01 -4.44054583E-01 -4.43863972E-01 -4.43673413E-01
 -4.43482912E-01 -4.43292489E-01 -4.43102169E-01 -4.42911954E-01 -4.42721850E-01
 -4.42531881E-01 -4.42342061E-01 -4.42152398E-01 -4.41962902E-01 -4.41773584E-01
 -4.41584464E-01 -4.41395549E-01 -4.41206842E-01 -4.41018358E-01 -4.40830111E-01
 -4.40642105E-01 -4.40454348E-01 -4.40266852E-01 -4.40079628E-01 -4.39892679E-01
 -4.39706015E-01 -4.39519646E-01 -4.39333580E-01 -4.39147826E-01 -4.38962389E-01
 -4.38777275E-01 -4.38592493E-01 -4.38408052E-01 -4.38223956E-01 -4.38040210E-01
 -4.37856822E-01 -4.37673799E-01 -4.37491145E-01 -4.37308867E-01 -4.37126969E-01
 -4.36945458E-01 -4.36764339E-01 -4.36583617E-01 -4.36403297E-01 -4.36223383E-01
 -4.36043881E-01 -4.35864796E-01 -4.35686130E-01 -4.35507890E-01 -4.35330079E-01
 -4.35152702E-01 -4.34975762E-01 -4.34799263E-01 -4.34623210E-01 -4.34447606E-01
 -4.34272455E-01 -4.34097763E-01 -4.33923530E-01 -4.33749761E-01 -4.33576458E-01
 -4.33403628E-01 -4.33231272E-01 -4.33059393E-01 -4.32887992E-01 -4.32717075E-01
 -4.32546645E-01 -4.32376704E-01 -4.32207253E-01 -4.32038296E-01 -4.31869838E-01
 -4.31701879E-01 -4.31534423E-01 -4.31367470E-01 -4.31201023E-01 -4.31035086E-01
 -4.30869662E-01 -4.30704755E-01 -4.30540365E-01 -4.30376493E-01 -4.30213141E-01
 -4.30050312E-01 -4.29888011E-01 -4.29726237E-01 -4.29564992E-01 -4.29404277E-01
 -4.29244095E-01 -4.29084448E-01 -4.28925339E-01 -4.28766770E-01 -4.28608743E-01
 -4.28451258E-01 -4.28294317E-01 -4.28137921E-01 -4.27982074E-01 -4.27826777E-01
 -4.27672032E-01 -4.27517839E-01 -4.27364200E-01 -4.27211116E-01 -4.27058590E-01
 -4.26906625E-01 -4.26755222E-01 -4.26604382E-01 -4.26454105E-01 -4.26304392E-01
 -4.26155246E-01 -4.26006669E-01 -4.25858663E-01 -4.25711230E-01 -4.25564371E-01
 -4.25418086E-01 -4.25272375E-01 -4.25127241E-01 -4.24982685E-01 -4.24838708E-01
 -4.24695313E-01 -4.24552502E-01 -4.24410275E-01 -4.24268633E-01 -4.24127576E-01
 -4.23987105E-01 -4.23847222E-01 -4.23707930E-01 -4.23569228E-01 -4.23431120E-01
 -4.23293607E-01 -4.23156689E-01 -4.23020366E-01 -4.22884639E-01 -4.22749510E-01
 -4.22614981E-01 -4.22481051E-01 -4.22347723E-01 -4.22214997E-01 -4.22082874E-01
 -4.21951354E-01 -4.21820438E-01 -4.21690126E-01 -4.21560419E-01 -4.21431317E-01
 -4.21302820E-01 -4.21174930E-01 -4.21047646E-01 -4.20920969E-01 -4.20794901E-01
 -4.20669440E-01 -4.20544587E-01 -4.20420344E-01 -4.20296709E-01 -4.20173683E-01
 -4.20051267E-01 -4.19929462E-01 -4.19808267E-01 -4.19687683E-01 -4.19567711E-01
 -4.19448349E-01 -4.19329598E-01 -4.19211458E-01 -4.19093929E-01 -4.18977011E-01
 -4.18860703E-01 -4.18745005E-01 -4.18629918E-01 -4.18515441E-01 -4.18401573E-01
 -4.18288316E-01 -4.18175668E-01 -4.18063629E-01 -4.17952201E-01 -4.17841383E-01
 -4.17731173E-01 -4.17621573E-01 -4.17512581E-01 -4.17404201E-01 -4.17296433E-01
 -4.17189276E-01 -4.17082724E-01 -4.16976772E-01 -4.16871421E-01 -4.16766690E-01
 -4.16662595E-01 -4.16559138E-01 -4.16456280E-01 -4.16353975E-01 -4.16252188E-01
 -4.16150936E-01 -4.16050250E-01 -4.15950119E-01 -4.15850257E-01 -4.15750257E-01
 -4.15649721E-01 -4.15548347E-01 -4.15445907E-01 -4.15342185E-01 -4.15237252E-01
 -4.15131589E-01 -4.15025699E-01 -4.14920037E-01 -4.14814938E-01 -4.14710714E-01
 -4.14607643E-01 -4.14505819E-01 -4.14405266E-01 -4.14306005E-01 -4.14208020E-01
 -4.14111266E-01 -4.14015695E-01 -4.13921277E-01 -4.13828011E-01 -4.13735901E-01
 -4.13644945E-01 -4.13555130E-01 -4.13466440E-01 -4.13378855E-01 -4.13292362E-01
 -4.13206946E-01 -4.13122594E-01 -4.13039294E-01 -4.12957028E-01 -4.12875785E-01
 -4.12795547E-01 -4.12716303E-01 -4.12638039E-01 -4.12560741E-01 -4.12484398E-01
 -4.12408995E-01 -4.12334521E-01 -4.12260962E-01 -4.12188305E-01 -4.12116540E-01
 -4.12045654E-01 -4.11975634E-01 -4.11906465E-01 -4.11838133E-01 -4.11770624E-01
 -4.11703925E-01 -4.11638024E-01 -4.11572909E-01 -4.11508565E-01 -4.11444975E-01
 -4.11382123E-01 -4.11319994E-01 -4.11258588E-01 -4.11197908E-01 -4.11137956E-01
 -4.11078716E-01 -4.11020152E-01 -4.10962229E-01 -4.10904896E-01 -4.10848035E-01
 -4.10791499E-01 -4.10735144E-01 -4.10678828E-01 -4.10622412E-01 -4.10565761E-01
 -4.10508750E-01 -4.10451376E-01 -4.10393715E-01 -4.10335842E-01 -4.10277851E-01
 -4.10219896E-01 -4.10162142E-01 -4.10104752E-01 -4.10047829E-01 -4.09991401E-01
 -4.09935487E-01 -4.09880107E-01 -4.09825255E-01 -4.09770919E-01 -4.09717082E-01
 -4.09663734E-01 -4.09610876E-01 -4.09558514E-01 -4.09506652E-01 -4.09455292E-01
 -4.09404431E-01 -4.09354065E-01 -4.09304190E-01 -4.09254803E-01 -4.09205905E-01
 -4.09157494E-01 -4.09109570E-01 -4.09062130E-01 -4.09015173E-01 -4.08968695E-01
 -4.08922697E-01 -4.08877175E-01 -4.08832128E-01 -4.08787553E-01 -4.08743450E-01
 -4.08699815E-01 -4.08656647E-01 -4.08613943E-01 -4.08571702E-01 -4.08529920E-01
 -4.08488595E-01 -4.08447726E-01 -4.08407309E-01 -4.08367342E-01 -4.08327823E-01
 -4.08288748E-01 -4.08250114E-01 -4.08211920E-01 -4.08174161E-01 -4.08136834E-01
 -4.08099936E-01 -4.08063464E-01 -4.08027413E-01 -4.07991780E-01 -4.07956561E-01
 -4.07921752E-01 -4.07887348E-01 -4.07853345E-01 -4.07819738E-01 -4.07786523E-01
 -4.07753695E-01 -4.07721249E-01 -4.07689179E-01 -4.07657480E-01 -4.07626147E-01
 -4.07595174E-01 -4.07564555E-01 -4.07534285E-01 -4.07504356E-01 -4.07474762E-01
 -4.07445498E-01 -4.07416555E-01 -4.07387927E-01 -4.07359607E-01 -4.07331587E-01
 -4.07303859E-01 -4.07276417E-01 -4.07249250E-01 -4.07222352E-01 -4.07195713E-01
 -4.07169324E-01 -4.07143178E-01 -4.07117263E-01 -4.07091570E-01 -4.07066090E-01
 -4.07040812E-01 -4.07015725E-01 -4.06990819E-01 -4.06966082E-01 -4.06941504E-01
 -4.06917071E-01 -4.06892772E-01 -4.06868595E-01 -4.06844526E-01 -4.06820552E-01
 -4.06796659E-01 -4.06772832E-01 -4.06749057E-01 -4.06725320E-01 -4.06701602E-01
 -4.06677889E-01 -4.06654164E-01 -4.06630410E-01 -4.06606607E-01 -4.06582738E-01
 -4.06558784E-01 -4.06534725E-01 -4.06510540E-01 -4.06486209E-01 -4.06461709E-01
 -4.06437019E-01 -4.06412120E-01 -4.06386989E-01 -4.06361606E-01 -4.06335952E-01
 -4.06310006E-01 -4.06283754E-01 -4.06257176E-01 -4.06230257E-01 -4.06202983E-01
 -4.06175347E-01 -4.06147338E-01 -4.06118950E-01 -4.06090177E-01 -4.06061020E-01
 -4.06031482E-01 -4.06001566E-01 -4.05971274E-01 -4.05940618E-01 -4.05909610E-01
 -4.05878262E-01 -4.05846587E-01 -4.05814600E-01 -4.05782321E-01 -4.05749767E-01
 -4.05716957E-01 -4.05683913E-01 -4.05650660E-01 -4.05617222E-01 -4.05583626E-01
 -4.05549897E-01 -4.05516070E-01 -4.05482177E-01 -4.05448254E-01 -4.05414335E-01
 -4.05380461E-01 -4.05346677E-01 -4.05313028E-01 -4.05279559E-01 -4.05246318E-01
 -4.05213354E-01 -4.05180718E-01 -4.05148459E-01 -4.05116630E-01 -4.05085289E-01
